Case ID,Activity,Complete Timestamp,Resource,Role,Amount
declaration 86791,Declaration SUBMITTED by EMPLOYEE,2017/01/09 09:49:50.000000,STAFF MEMBER,EMPLOYEE,26.85120450862128
declaration 86791,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/09 11:27:48.000000,STAFF MEMBER,SUPERVISOR,26.85120450862128
declaration 86791,Request Payment,2017/01/10 09:34:44.000000,SYSTEM,UNDEFINED,26.85120450862128
declaration 86791,Payment Handled,2017/01/12 17:31:22.000000,SYSTEM,UNDEFINED,26.85120450862128
declaration 86795,Declaration SUBMITTED by EMPLOYEE,2017/01/09 10:26:14.000000,STAFF MEMBER,EMPLOYEE,182.46417204248664
declaration 86795,Declaration APPROVED by PRE_APPROVER,2017/02/22 10:29:21.000000,STAFF MEMBER,PRE_APPROVER,182.46417204248664
declaration 86795,Declaration FINAL_APPROVED by SUPERVISOR,2017/02/23 08:14:45.000000,STAFF MEMBER,SUPERVISOR,182.46417204248664
declaration 86795,Request Payment,2017/03/06 14:07:25.000000,SYSTEM,UNDEFINED,182.46417204248664
declaration 86795,Payment Handled,2017/03/13 17:30:59.000000,SYSTEM,UNDEFINED,182.46417204248664
declaration 86800,Declaration SUBMITTED by EMPLOYEE,2017/01/09 11:13:33.000000,STAFF MEMBER,EMPLOYEE,320.64613660358276
declaration 86800,Declaration APPROVED by PRE_APPROVER,2017/02/02 18:58:50.000000,STAFF MEMBER,PRE_APPROVER,320.64613660358276
declaration 86800,Declaration FINAL_APPROVED by SUPERVISOR,2017/02/09 05:15:04.000000,STAFF MEMBER,SUPERVISOR,320.64613660358276
declaration 86800,Request Payment,2017/02/09 16:00:15.000000,SYSTEM,UNDEFINED,320.64613660358276
declaration 86800,Payment Handled,2017/02/13 17:32:14.000000,SYSTEM,UNDEFINED,320.64613660358276
declaration 86731,Declaration SUBMITTED by EMPLOYEE,2017/01/09 11:24:20.000000,STAFF MEMBER,EMPLOYEE,113.86204717835876
declaration 86731,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/09 11:37:23.000000,STAFF MEMBER,SUPERVISOR,113.86204717835876
declaration 86731,Request Payment,2017/01/11 14:37:18.000000,SYSTEM,UNDEFINED,113.86204717835876
declaration 86731,Payment Handled,2017/01/16 17:32:14.000000,SYSTEM,UNDEFINED,113.86204717835876
declaration 86735,Declaration SUBMITTED by EMPLOYEE,2017/01/09 11:30:26.000000,STAFF MEMBER,EMPLOYEE,134.4041690919802
declaration 86735,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/09 11:37:18.000000,STAFF MEMBER,SUPERVISOR,134.4041690919802
declaration 86735,Request Payment,2017/01/11 14:37:18.000000,SYSTEM,UNDEFINED,134.4041690919802
declaration 86735,Payment Handled,2017/01/16 17:32:14.000000,SYSTEM,UNDEFINED,134.4041690919802
declaration 86805,Declaration SUBMITTED by EMPLOYEE,2017/01/09 11:40:47.000000,STAFF MEMBER,EMPLOYEE,443.5851633904689
declaration 86805,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/09 11:41:23.000000,STAFF MEMBER,SUPERVISOR,443.5851633904689
declaration 86805,Request Payment,2017/01/25 10:31:31.000000,SYSTEM,UNDEFINED,443.5851633904689
declaration 86805,Payment Handled,2017/01/30 17:31:35.000000,SYSTEM,UNDEFINED,443.5851633904689
declaration 86809,Declaration SUBMITTED by EMPLOYEE,2017/01/09 12:14:36.000000,STAFF MEMBER,EMPLOYEE,333.4409095020257
declaration 86809,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/09 12:14:49.000000,STAFF MEMBER,SUPERVISOR,333.4409095020257
declaration 86809,Declaration REJECTED by MISSING,2017/01/10 15:35:19.000000,STAFF MEMBER,MISSING,333.4409095020257
declaration 86809,Declaration SUBMITTED by EMPLOYEE,2017/01/20 14:43:27.000000,STAFF MEMBER,EMPLOYEE,333.4409095020257
declaration 86809,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/20 14:44:43.000000,STAFF MEMBER,SUPERVISOR,333.4409095020257
declaration 86809,Request Payment,2017/01/27 10:55:21.000000,SYSTEM,UNDEFINED,333.4409095020257
declaration 86809,Payment Handled,2017/01/30 17:31:35.000000,SYSTEM,UNDEFINED,333.4409095020257
declaration 86816,Declaration SUBMITTED by EMPLOYEE,2017/01/09 14:51:44.000000,STAFF MEMBER,EMPLOYEE,29.951677823270586
declaration 86816,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/09 14:52:05.000000,STAFF MEMBER,SUPERVISOR,29.951677823270586
declaration 86816,Request Payment,2017/01/11 09:04:31.000000,SYSTEM,UNDEFINED,29.951677823270586
declaration 86816,Payment Handled,2017/01/16 17:32:14.000000,SYSTEM,UNDEFINED,29.951677823270586
declaration 86716,Declaration SUBMITTED by EMPLOYEE,2017/01/09 15:10:05.000000,STAFF MEMBER,EMPLOYEE,22.765520937670562
declaration 86716,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/09 15:11:23.000000,STAFF MEMBER,SUPERVISOR,22.765520937670562
declaration 86716,Request Payment,2017/01/13 14:09:36.000000,SYSTEM,UNDEFINED,22.765520937670562
declaration 86716,Payment Handled,2017/01/16 17:32:14.000000,SYSTEM,UNDEFINED,22.765520937670562
declaration 86720,Declaration SUBMITTED by EMPLOYEE,2017/01/09 15:57:21.000000,STAFF MEMBER,EMPLOYEE,105.60407429637942
declaration 86720,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/09 15:57:24.000000,STAFF MEMBER,SUPERVISOR,105.60407429637942
declaration 86720,Declaration REJECTED by MISSING,2017/01/10 13:08:27.000000,STAFF MEMBER,MISSING,105.60407429637942
declaration 86720,Declaration SUBMITTED by EMPLOYEE,2017/01/17 16:51:42.000000,STAFF MEMBER,EMPLOYEE,105.60407429637942
declaration 86720,Declaration REJECTED by PRE_APPROVER,2017/01/17 16:51:54.000000,STAFF MEMBER,PRE_APPROVER,105.60407429637942
declaration 86720,Declaration REJECTED by EMPLOYEE,2017/01/19 12:19:38.000000,STAFF MEMBER,EMPLOYEE,105.60407429637942
declaration 86720,Declaration SUBMITTED by EMPLOYEE,2017/01/19 16:13:16.000000,STAFF MEMBER,EMPLOYEE,105.60407429637942
declaration 86720,Declaration APPROVED by PRE_APPROVER,2017/01/19 16:13:46.000000,STAFF MEMBER,PRE_APPROVER,105.60407429637942
declaration 86720,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/23 08:52:57.000000,STAFF MEMBER,SUPERVISOR,105.60407429637942
declaration 86720,Request Payment,2017/01/23 13:04:01.000000,SYSTEM,UNDEFINED,105.60407429637942
declaration 86720,Payment Handled,2017/01/26 17:30:39.000000,SYSTEM,UNDEFINED,105.60407429637942
declaration 86820,Declaration SUBMITTED by EMPLOYEE,2017/01/10 10:04:52.000000,STAFF MEMBER,EMPLOYEE,79.19288484664766
declaration 86820,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/10 10:05:02.000000,STAFF MEMBER,SUPERVISOR,79.19288484664766
declaration 86820,Request Payment,2017/01/17 15:35:05.000000,SYSTEM,UNDEFINED,79.19288484664766
declaration 86820,Payment Handled,2017/01/19 17:31:49.000000,SYSTEM,UNDEFINED,79.19288484664766
declaration 86824,Declaration SUBMITTED by EMPLOYEE,2017/01/10 10:52:07.000000,STAFF MEMBER,EMPLOYEE,190.4269720072961
declaration 86824,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/12 12:06:07.000000,STAFF MEMBER,SUPERVISOR,190.4269720072961
declaration 86824,Request Payment,2017/01/16 14:21:49.000000,SYSTEM,UNDEFINED,190.4269720072961
declaration 86824,Payment Handled,2017/01/19 17:31:49.000000,SYSTEM,UNDEFINED,190.4269720072961
declaration 86828,Declaration SUBMITTED by EMPLOYEE,2017/01/10 11:46:39.000000,STAFF MEMBER,EMPLOYEE,26.525495718025063
declaration 86828,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/10 11:46:45.000000,STAFF MEMBER,SUPERVISOR,26.525495718025063
declaration 86828,Request Payment,2017/01/10 15:39:15.000000,SYSTEM,UNDEFINED,26.525495718025063
declaration 86828,Payment Handled,2017/01/12 17:31:22.000000,SYSTEM,UNDEFINED,26.525495718025063
declaration 86739,Declaration SUBMITTED by EMPLOYEE,2017/01/10 11:50:59.000000,STAFF MEMBER,EMPLOYEE,77.61163561940667
declaration 86739,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/10 11:51:02.000000,STAFF MEMBER,SUPERVISOR,77.61163561940667
declaration 86739,Declaration REJECTED by MISSING,2017/01/10 15:46:59.000000,STAFF MEMBER,MISSING,77.61163561940667
declaration 86739,Declaration SUBMITTED by EMPLOYEE,2017/01/17 15:59:44.000000,STAFF MEMBER,EMPLOYEE,77.61163561940667
declaration 86739,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/17 15:59:47.000000,STAFF MEMBER,SUPERVISOR,77.61163561940667
declaration 86739,Request Payment,2017/01/18 09:38:13.000000,SYSTEM,UNDEFINED,77.61163561940667
declaration 86739,Payment Handled,2017/01/23 17:32:00.000000,SYSTEM,UNDEFINED,77.61163561940667
declaration 86746,Declaration SUBMITTED by EMPLOYEE,2017/01/10 12:55:00.000000,STAFF MEMBER,EMPLOYEE,158.50365787962664
declaration 86746,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/10 12:55:11.000000,STAFF MEMBER,SUPERVISOR,158.50365787962664
declaration 86746,Request Payment,2017/01/12 09:02:17.000000,SYSTEM,UNDEFINED,158.50365787962664
declaration 86746,Payment Handled,2017/01/16 17:32:14.000000,SYSTEM,UNDEFINED,158.50365787962664
declaration 86750,Declaration SAVED by EMPLOYEE,2017/01/10 13:41:35.000000,STAFF MEMBER,EMPLOYEE,0.0
declaration 86752,Declaration SUBMITTED by EMPLOYEE,2017/01/10 14:09:02.000000,STAFF MEMBER,EMPLOYEE,33.479724779377364
declaration 86752,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/10 14:10:16.000000,STAFF MEMBER,SUPERVISOR,33.479724779377364
declaration 86752,Request Payment,2017/01/25 10:31:00.000000,SYSTEM,UNDEFINED,33.479724779377364
declaration 86752,Payment Handled,2017/01/30 17:31:35.000000,SYSTEM,UNDEFINED,33.479724779377364
declaration 86756,Declaration SUBMITTED by EMPLOYEE,2017/01/10 14:32:55.000000,STAFF MEMBER,EMPLOYEE,44.37458105163963
declaration 86756,Declaration FINAL_APPROVED by SUPERVISOR,2017/01/10 14:33:05.000000,STAFF MEMBER,SUPERVISOR,44.37458105163963
declaration 86756,Request Payment,2017/01/11 17:15:45.000000,SYSTEM,UNDEFINED,44.37458105163963
declaration 86756,Payment Handled,2017/01/16 17:32:14.000000,SYSTEM,UNDEFINED,44.37458105163963
